"variable_id","unit","full_name","explanation","fc","p_value","p_value_adjust"
"H2PL","mg/dL","HDL-2-Phospholipids",NA,1.06412441822604,0.253736707516211,0.33044780513739
"H3PL","mg/dL","HDL-3-Phospholipids",NA,0.922008513321772,0.0596988887496514,0.126156142263414
"H4PL","mg/dL","HDL-4-Phospholipids",NA,0.859800122374057,0.000188400287433873,0.00211008321925938
"H1A1","mg/dL","HDL-1-Apo A1",NA,1.39666234074832,0.00104172280413825,0.00614068179281496
"H2A1","mg/dL","HDL-2-Apo A1",NA,1.01563189845475,0.750147009157104,0.800156809767577
"H3A1","mg/dL","HDL-3-Apo A1",NA,0.919751512060045,0.0335605241236544,0.0854267886783931
"H4A1","mg/dL","HDL-4-Apo A1",NA,0.868782659857054,0.000145309559746154,0.00190649934786205
"H1A2","mg/dL","HDL-1-Apo A2",NA,1.38188096689011,0.0031998634521459,0.0127994538085836
"H2A2","mg/dL","HDL-2-Apo A2",NA,1.0270544999609,0.676461616809915,0.735569913424373
"H3A2","mg/dL","HDL-3-Apo A2",NA,0.879856349983676,0.00615212428110868,0.0215324349838804
"H4A2","mg/dL","HDL-4-Apo A2",NA,0.813135737938613,0.000143364838626565,0.00190649934786205
